Luogo,Criminalità,Assistenza Sanitaria,Inquinamento
Lima,,,
Bogota,,,
Rio de Janeiro,,,
Caracas,,,
Buenos Aires,,,
Brasilia,,,
Fortaleza,,,
Guayaquil,,,
Quito,,,
Belo Horizonte,,,
Medellín,,,
Curitiba,,,
Maracaibo,,,
Recife,,,
Porto Alegre,,,
Belém,,,
Goiânia,,,
Córdoba,,,
Montevideo,,,
Guarulhos,,,
Barranquilla,,,
Campinas,,,
Maceió,,,
Natal,,,
Campo Grande,,,
João Pessoa,,,
Santo André,,,
La Plata,,,
Cochabamba,,,
Ribeirão Preto,,,
Uberlândia,,,
Sorocaba,,,
Mar del Plata,,,
Cuenca,,,
Joinville,,,
Juiz de Fora,,,
Londrina,,,
Asunción,,,
Ibagué,,,
